n,tempo
1,0.000000
2,0.000000
3,0.000000
4,0.000000
5,0.000000
6,0.000000
7,0.000000
8,0.000000
9,0.000000
10,0.000000
11,0.000000
12,0.000000
13,0.000000
14,0.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,0.000000
31,0.000000
32,0.000000
33,0.000000
34,0.000000
35,0.000000
36,0.000000
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,0.001000
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,0.000000
47,0.001000
48,0.000000
49,0.001000
50,0.000000
51,0.001000
52,0.000000
53,0.001000
54,0.000000
55,0.000000
56,0.001000
57,0.000000
58,0.000000
59,0.001000
60,0.001000
61,0.001000
62,0.000000
63,0.001000
64,0.001000
65,0.000000
66,0.001000
67,0.001000
68,0.001000
69,0.001000
70,0.001000
71,0.001000
72,0.001000
73,0.001000
74,0.001000
75,0.001000
76,0.002000
77,0.002000
78,0.002000
79,0.002000
80,0.002000
81,0.001000
82,0.002000
83,0.002000
84,0.002000
85,0.003000
86,0.002000
87,0.002000
88,0.002000
89,0.002000
90,0.002000
91,0.002000
92,0.002000
93,0.002000
94,0.002000
95,0.002000
96,0.003000
97,0.003000
98,0.003000
99,0.003000
100,0.003000
101,0.003000
102,0.004000
103,0.003000
104,0.003000
105,0.003000
106,0.003000
107,0.005000
108,0.004000
109,0.003000
110,0.004000
111,0.004000
112,0.004000
113,0.005000
114,0.005000
115,0.004000
116,0.004000
117,0.005000
118,0.005000
119,0.004000
120,0.006000
121,0.005000
122,0.006000
123,0.006000
124,0.005000
125,0.005000
126,0.006000
127,0.007000
128,0.007000
129,0.006000
130,0.007000
131,0.006000
132,0.006000
133,0.007000
134,0.007000
135,0.006000
136,0.009000
137,0.007000
138,0.007000
139,0.008000
140,0.007000
141,0.008000
142,0.008000
143,0.008000
144,0.008000
145,0.009000
146,0.010000
147,0.009000
148,0.009000
149,0.009000
150,0.010000
151,0.010000
152,0.010000
153,0.010000
154,0.010000
155,0.010000
156,0.011000
157,0.010000
158,0.011000
159,0.011000
160,0.011000
161,0.012000
162,0.012000
163,0.012000
164,0.013000
165,0.013000
166,0.013000
167,0.013000
168,0.013000
169,0.014000
170,0.014000
171,0.014000
172,0.014000
173,0.015000
174,0.015000
175,0.015000
176,0.016000
177,0.016000
178,0.016000
179,0.016000
180,0.017000
181,0.019000
182,0.017000
183,0.017000
184,0.017000
185,0.018000
186,0.018000
187,0.019000
188,0.019000
189,0.019000
190,0.019000
191,0.020000
192,0.020000
193,0.021000
194,0.022000
195,0.021000
196,0.021000
197,0.021000
198,0.023000
199,0.023000
200,0.023000
201,0.023000
202,0.023000
203,0.024000
204,0.024000
205,0.027000
206,0.025000
207,0.025000
208,0.025000
209,0.026000
210,0.026000
211,0.028000
212,0.033000
213,0.028000
214,0.028000
215,0.028000
216,0.028000
217,0.029000
218,0.029000
219,0.030000
220,0.030000
221,0.032000
222,0.030000
223,0.031000
224,0.031000
225,0.032000
226,0.033000
227,0.033000
228,0.034000
229,0.033000
230,0.033000
231,0.035000
232,0.035000
233,0.036000
234,0.036000
235,0.037000
236,0.036000
237,0.038000
238,0.037000
239,0.038000
240,0.039000
241,0.041000
242,0.039000
243,0.040000
244,0.040000
245,0.042000
246,0.042000
247,0.043000
248,0.045000
249,0.045000
250,0.046000
251,0.045000
252,0.045000
253,0.045000
254,0.046000
255,0.047000
256,0.052000
257,0.049000
258,0.049000
259,0.050000
260,0.051000
261,0.051000
262,0.051000
263,0.051000
264,0.053000
265,0.053000
266,0.054000
267,0.056000
268,0.054000
269,0.055000
270,0.056000
271,0.056000
272,0.056000
273,0.060000
274,0.059000
275,0.059000
276,0.060000
277,0.061000
278,0.062000
279,0.062000
280,0.064000
281,0.063000
282,0.064000
283,0.066000
284,0.066000
285,0.067000
286,0.067000
287,0.068000
288,0.069000
289,0.070000
290,0.073000
291,0.072000
292,0.071000
293,0.072000
294,0.073000
295,0.074000
296,0.074000
297,0.076000
298,0.076000
299,0.077000
300,0.078000
301,0.084000
302,0.079000
303,0.079000
304,0.080000
305,0.081000
306,0.083000
307,0.084000
308,0.084000
309,0.087000
310,0.086000
311,0.087000
312,0.088000
313,0.088000
314,0.089000
315,0.096000
316,0.091000
317,0.093000
318,0.094000
319,0.094000
320,0.103000
321,0.097000
322,0.098000
323,0.098000
324,0.097000
325,0.099000
326,0.105000
327,0.100000
328,0.102000
329,0.102000
330,0.103000
331,0.105000
332,0.105000
333,0.106000
334,0.106000
335,0.108000
336,0.109000
337,0.109000
338,0.109000
339,0.111000
340,0.112000
341,0.123000
342,0.115000
343,0.116000
344,0.118000
345,0.119000
346,0.120000
347,0.121000
348,0.123000
349,0.124000
350,0.126000
351,0.126000
352,0.128000
353,0.129000
354,0.128000
355,0.130000
356,0.133000
357,0.135000
358,0.138000
359,0.134000
360,0.137000
361,0.140000
362,0.141000
363,0.143000
364,0.144000
365,0.145000
366,0.146000
367,0.147000
368,0.149000
369,0.146000
370,0.149000
371,0.148000
372,0.150000
373,0.152000
374,0.153000
375,0.154000
376,0.157000
377,0.158000
378,0.158000
379,0.160000
380,0.161000
381,0.161000
382,0.165000
383,0.167000
384,0.190000
385,0.173000
386,0.175000
387,0.172000
388,0.171000
389,0.177000
390,0.182000
391,0.176000
392,0.177000
393,0.178000
394,0.186000
395,0.185000
396,0.193000
397,0.185000
398,0.186000
399,0.189000
400,0.187000
401,0.192000
402,0.198000
403,0.193000
404,0.200000
405,0.196000
406,0.201000
407,0.201000
408,0.202000
409,0.207000
410,0.210000
411,0.212000
412,0.219000
413,0.208000
414,0.223000
415,0.212000
416,0.235000
417,0.220000
418,0.222000
419,0.220000
420,0.223000
421,0.226000
422,0.223000
423,0.224000
424,0.226000
425,0.229000
426,0.229000
427,0.230000
428,0.236000
429,0.239000
430,0.236000
431,0.236000
432,0.238000
433,0.243000
434,0.243000
435,0.242000
436,0.245000
437,0.252000
438,0.256000
439,0.272000
440,0.258000
441,0.261000
442,0.262000
443,0.285000
444,0.260000
445,0.260000
446,0.263000
447,0.263000
448,0.296000
449,0.269000
450,0.273000
451,0.277000
452,0.282000
453,0.291000
454,0.288000
455,0.307000
456,0.282000
457,0.290000
458,0.292000
459,0.347000
460,0.465000
461,0.361000
462,0.321000
463,0.312000
464,0.300000
465,0.302000
466,0.301000
467,0.308000
468,0.316000
469,0.315000
470,0.322000
471,0.322000
472,0.343000
473,0.367000
474,0.351000
475,0.355000
476,0.347000
477,0.340000
478,0.355000
479,0.354000
480,0.367000
481,0.341000
482,0.364000
483,0.334000
484,0.350000
485,0.507000
486,0.496000
487,0.386000
488,0.372000
489,0.365000
490,0.350000
491,0.349000
492,0.355000
493,0.390000
494,0.370000
495,0.377000
496,0.390000
497,0.378000
498,0.384000
499,0.380000
500,0.409000
501,0.405000
502,0.394000
503,0.380000
504,0.406000
505,0.415000
506,0.436000
507,0.419000
508,0.411000
509,0.403000
510,0.417000
511,0.421000
512,0.490000
513,0.444000
514,0.427000
515,0.486000
516,0.418000
517,0.431000
518,0.422000
519,0.429000
520,0.436000
521,0.458000
522,0.423000
523,0.444000
524,0.441000
525,0.441000
526,0.452000
527,0.456000
528,0.446000
529,0.464000
530,0.463000
531,0.492000
532,0.459000
533,0.471000
534,0.471000
535,0.471000
536,0.485000
537,0.492000
538,0.485000
539,0.517000
540,0.505000
541,0.502000
542,0.513000
543,0.501000
544,0.520000
545,0.481000
546,0.492000
547,0.499000
548,0.503000
549,0.491000
550,0.530000
551,0.519000
552,0.516000
553,0.536000
554,0.545000
555,0.509000
556,0.511000
557,0.517000
558,0.553000
559,0.521000
560,0.522000
561,0.529000
562,0.545000
563,0.559000
564,0.570000
565,0.592000
566,0.540000
567,0.546000
568,0.564000
569,0.620000
570,0.588000
571,0.558000
572,0.576000
573,0.564000
574,0.605000
575,0.578000
576,0.639000
577,0.622000
578,0.604000
579,0.617000
580,0.634000
581,0.624000
582,0.694000
583,0.630000
584,0.631000
585,0.684000
586,0.628000
587,0.659000
588,0.640000
589,0.647000
590,0.652000
591,0.645000
592,0.651000
593,0.672000
594,0.650000
595,0.680000
596,0.680000
597,0.687000
598,0.671000
599,0.671000
600,0.684000
601,0.677000
602,0.710000
603,0.682000
604,0.684000
605,0.713000
606,0.681000
607,0.718000
608,0.732000
609,0.727000
610,0.708000
611,0.732000
612,0.683000
613,0.720000
614,0.739000
615,0.736000
616,0.708000
617,0.725000
618,0.732000
619,0.792000
620,0.755000
621,0.882000
622,0.780000
623,0.787000
624,0.778000
625,0.732000
626,0.748000
627,0.785000
628,0.766000
629,0.783000
630,0.810000
631,0.794000
632,0.786000
633,0.807000
634,0.818000
635,0.778000
636,0.806000
637,0.816000
638,0.810000
639,0.827000
640,0.889000
641,0.824000
642,0.862000
643,0.874000
644,0.841000
645,0.845000
646,0.879000
647,0.871000
648,0.806000
649,0.890000
650,0.907000
651,0.920000
652,0.900000
653,0.890000
654,0.914000
655,0.911000
656,0.846000
657,0.905000
658,0.920000
659,0.956000
660,0.891000
661,0.920000
662,0.932000
663,0.952000
664,0.942000
665,0.936000
666,0.962000
667,0.970000
668,0.973000
669,0.960000
670,0.932000
671,1.021000
672,1.078000
673,0.981000
674,1.001000
675,1.022000
676,1.013000
677,1.048000
678,1.022000
679,1.041000
680,0.989000
681,1.007000
682,1.039000
683,1.107000
684,1.091000
685,1.080000
686,1.082000
687,1.128000
688,1.016000
689,1.076000
690,1.085000
691,1.082000
692,1.101000
693,1.055000
694,1.092000
695,1.111000
696,1.086000
697,1.135000
698,1.174000
699,1.120000
700,1.121000
701,1.162000
702,1.144000
703,1.171000
704,1.174000
705,1.158000
706,1.130000
707,1.164000
708,1.155000
709,1.251000
710,1.223000
711,1.181000
712,1.186000
713,1.204000
714,1.209000
715,1.265000
716,1.194000
717,1.245000
718,1.237000
719,1.248000
720,1.222000
721,1.232000
722,1.221000
723,1.257000
724,1.240000
725,1.258000
726,1.237000
727,1.279000
728,1.176000
729,1.201000
730,1.276000
731,1.248000
732,1.276000
733,1.256000
734,1.235000
735,1.291000
736,1.358000
737,1.300000
738,1.360000
739,1.362000
740,1.372000
741,1.342000
742,1.341000
743,1.349000
744,1.338000
745,1.383000
746,1.424000
747,1.383000
748,1.387000
749,1.438000
750,1.452000
751,1.490000
752,1.422000
753,1.418000
754,1.466000
755,1.383000
756,1.471000
757,1.478000
758,1.498000
759,1.503000
760,1.487000
761,1.454000
762,1.484000
763,1.470000
764,1.510000
765,1.493000
766,1.545000
767,1.423000
768,1.515000
769,1.574000
770,1.571000
771,1.535000
772,1.547000
773,1.591000
774,1.512000
775,3.517000
776,1.914000
777,1.836000
778,1.800000
779,1.881000
780,1.927000
781,1.869000
782,1.693000
783,1.692000
784,1.657000
785,1.713000
786,1.708000
787,1.680000
788,1.691000
789,1.775000
790,1.690000
791,1.902000
792,1.893000
793,2.067000
794,1.963000
795,1.897000
796,2.146000
797,4.942000
798,4.280000
799,4.009000
800,2.538000
801,2.335000
802,3.024000
803,1.806000
804,1.792000
805,1.769000
806,1.844000
807,1.729000
808,1.809000
809,1.818000
810,1.879000
811,1.886000
812,1.979000
813,2.321000
814,1.938000
815,1.843000
816,1.836000
817,1.882000
818,1.911000
819,1.823000
820,1.895000
821,1.943000
822,1.951000
823,1.945000
824,1.916000
825,2.015000
826,2.040000
827,1.960000
828,1.986000
829,2.007000
830,2.079000
831,1.989000
832,1.952000
833,2.040000
834,2.282000
835,2.000000
836,2.101000
837,2.100000
838,2.131000
839,2.075000
840,2.050000
841,2.089000
842,2.157000
843,2.149000
844,2.510000
845,2.161000
846,2.173000
847,2.213000
848,2.186000
849,2.232000
850,2.224000
851,2.210000
852,2.221000
853,2.213000
854,2.263000
855,2.266000
856,2.180000
857,2.214000
858,2.291000
859,2.258000
860,2.770000
861,2.273000
862,2.341000
863,2.219000
864,2.222000
865,2.425000
866,3.059000
867,2.196000
868,2.219000
869,2.334000
870,2.226000
871,2.319000
872,2.304000
873,2.285000
874,2.375000
875,2.397000
876,2.378000
877,2.259000
878,2.296000
879,2.279000
880,2.281000
881,2.431000
882,2.388000
883,2.414000
884,2.425000
885,3.273000
886,2.474000
887,2.488000
888,2.455000
889,2.513000
890,2.534000
891,2.424000
892,2.445000
893,2.632000
894,2.463000
895,2.464000
896,2.519000
897,2.551000
898,2.650000
899,2.607000
900,2.488000
901,2.575000
902,2.635000
903,2.620000
904,2.659000
905,2.682000
906,2.601000
907,2.670000
908,2.681000
909,2.664000
910,2.693000
911,2.705000
912,2.651000
913,2.716000
914,2.781000
915,2.753000
916,2.587000
917,2.773000
918,2.801000
919,2.795000
920,2.725000
921,2.788000
922,2.825000
923,2.828000
924,2.779000
925,2.791000
926,2.908000
927,2.824000
928,2.930000
929,3.298000
930,3.003000
931,3.057000
932,2.817000
933,2.946000
934,2.929000
935,2.913000
936,2.795000
937,2.801000
938,2.865000
939,2.926000
940,2.829000
941,2.930000
942,2.999000
943,2.889000
944,2.993000
945,2.942000
946,2.947000
947,2.978000
948,3.086000
949,3.044000
950,3.034000
951,3.020000
952,3.043000
953,3.059000
954,3.088000
955,3.062000
956,3.037000
957,3.281000
958,3.085000
959,3.203000
960,3.017000
961,3.065000
962,3.270000
963,3.301000
964,3.115000
965,3.207000
966,3.236000
967,3.141000
968,3.141000
969,3.206000
970,3.323000
971,3.321000
972,3.139000
973,3.215000
974,3.218000
975,3.445000
976,3.134000
977,3.368000
978,3.789000
979,3.500000
980,3.755000
981,3.485000
982,3.616000
983,3.333000
984,3.228000
985,3.403000
986,3.646000
987,3.520000
988,3.305000
989,3.465000
990,3.434000
991,3.360000
992,3.287000
993,3.559000
994,3.495000
995,3.451000
996,3.424000
997,3.585000
998,3.515000
999,3.558000
