n,tempo
1000000000000,0.011000
1000000100000,0.008000
1000000200000,0.022000
1000000300000,0.018000
1000000400000,0.011000
1000000500000,0.009000
1000000600000,0.007000
1000000700000,0.011000
1000000800000,0.013000
1000000900000,0.010000
1000001000000,0.011000
1000001100000,0.003000
1000001200000,0.018000
1000001300000,0.011000
1000001400000,0.015000
1000001500000,0.012000
1000001600000,0.006000
1000001700000,0.010000
1000001800000,0.010000
1000001900000,0.018000
1000002000000,0.006000
1000002100000,0.016000
1000002200000,0.013000
1000002300000,0.007000
1000002400000,0.006000
1000002500000,0.004000
1000002600000,0.007000
1000002700000,0.007000
1000002800000,0.007000
1000002900000,0.029000
1000003000000,0.017000
1000003100000,0.019000
1000003200000,0.006000
1000003300000,0.018000
1000003400000,0.007000
1000003500000,0.008000
1000003600000,0.005000
1000003700000,0.006000
1000003800000,0.005000
1000003900000,0.009000
1000004000000,0.006000
1000004100000,0.007000
1000004200000,0.004000
1000004300000,0.005000
1000004400000,0.007000
1000004500000,0.007000
1000004600000,0.007000
1000004700000,0.010000
1000004800000,0.006000
1000004900000,0.006000
1000005000000,0.009000
1000005100000,0.006000
1000005200000,0.006000
1000005300000,0.005000
1000005400000,0.005000
1000005500000,0.007000
1000005600000,0.006000
1000005700000,0.007000
1000005800000,0.005000
1000005900000,0.006000
1000006000000,0.005000
1000006100000,0.005000
1000006200000,0.006000
1000006300000,0.006000
1000006400000,0.007000
1000006500000,0.005000
1000006600000,0.004000
1000006700000,0.007000
1000006800000,0.006000
1000006900000,0.005000
1000007000000,0.008000
1000007100000,0.006000
1000007200000,0.008000
1000007300000,0.006000
1000007400000,0.006000
1000007500000,0.006000
1000007600000,0.006000
1000007700000,0.007000
1000007800000,0.005000
1000007900000,0.005000
1000008000000,0.004000
1000008100000,0.007000
1000008200000,0.007000
1000008300000,0.006000
1000008400000,0.007000
1000008500000,0.000000
1000008600000,0.005000
1000008700000,0.003000
1000008800000,0.014000
1000008900000,0.008000
1000009000000,0.004000
1000009100000,0.009000
1000009200000,0.005000
1000009300000,0.007000
1000009400000,0.007000
1000009500000,0.005000
1000009600000,0.005000
1000009700000,0.007000
1000009800000,0.004000
1000009900000,0.008000
1000010000000,0.006000
1000010100000,0.004000
1000010200000,0.006000
1000010300000,0.006000
1000010400000,0.006000
1000010500000,0.005000
1000010600000,0.006000
1000010700000,0.006000
1000010800000,0.005000
1000010900000,0.004000
1000011000000,0.007000
1000011100000,0.004000
1000011200000,0.005000
1000011300000,0.006000
1000011400000,0.005000
1000011500000,0.004000
1000011600000,0.006000
1000011700000,0.005000
1000011800000,0.005000
1000011900000,0.007000
1000012000000,0.006000
1000012100000,0.006000
1000012200000,0.005000
1000012300000,0.008000
1000012400000,0.006000
1000012500000,0.006000
1000012600000,0.005000
1000012700000,0.007000
1000012800000,0.007000
1000012900000,0.007000
1000013000000,0.004000
1000013100000,0.007000
1000013200000,0.005000
1000013300000,0.006000
1000013400000,0.005000
1000013500000,0.005000
1000013600000,0.007000
1000013700000,0.006000
1000013800000,0.005000
1000013900000,0.009000
1000014000000,0.004000
1000014100000,0.011000
1000014200000,0.003000
1000014300000,0.010000
1000014400000,0.007000
1000014500000,0.008000
1000014600000,0.002000
1000014700000,0.011000
1000014800000,0.002000
1000014900000,0.010000
1000015000000,0.007000
1000015100000,0.005000
1000015200000,0.005000
1000015300000,0.005000
1000015400000,0.007000
1000015500000,0.005000
1000015600000,0.006000
1000015700000,0.009000
1000015800000,0.005000
1000015900000,0.006000
1000016000000,0.006000
1000016100000,0.005000
1000016200000,0.004000
1000016300000,0.010000
1000016400000,0.006000
1000016500000,0.007000
1000016600000,0.006000
1000016700000,0.006000
1000016800000,0.005000
1000016900000,0.006000
1000017000000,0.005000
1000017100000,0.006000
1000017200000,0.004000
1000017300000,0.009000
1000017400000,0.005000
1000017500000,0.005000
1000017600000,0.005000
1000017700000,0.005000
1000017800000,0.007000
1000017900000,0.006000
1000018000000,0.004000
1000018100000,0.005000
1000018200000,0.009000
1000018300000,0.005000
1000018400000,0.006000
1000018500000,0.002000
1000018600000,0.005000
1000018700000,0.004000
1000018800000,0.008000
1000018900000,0.006000
1000019000000,0.004000
1000019100000,0.005000
1000019200000,0.002000
1000019300000,0.009000
1000019400000,0.004000
1000019500000,0.008000
1000019600000,0.008000
1000019700000,0.004000
1000019800000,0.008000
1000019900000,0.007000
1000020000000,0.005000
1000020100000,0.009000
1000020200000,0.006000
1000020300000,0.006000
1000020400000,0.005000
1000020500000,0.006000
1000020600000,0.006000
1000020700000,0.005000
1000020800000,0.002000
1000020900000,0.008000
1000021000000,0.006000
1000021100000,0.005000
1000021200000,0.005000
1000021300000,0.007000
1000021400000,0.005000
1000021500000,0.003000
1000021600000,0.006000
1000021700000,0.009000
1000021800000,0.005000
1000021900000,0.007000
1000022000000,0.005000
1000022100000,0.006000
1000022200000,0.006000
1000022300000,0.005000
1000022400000,0.004000
1000022500000,0.007000
1000022600000,0.006000
1000022700000,0.008000
1000022800000,0.005000
1000022900000,0.005000
1000023000000,0.005000
1000023100000,0.004000
1000023200000,0.007000
1000023300000,0.009000
1000023400000,0.006000
1000023500000,0.005000
1000023600000,0.008000
1000023700000,0.006000
1000023800000,0.004000
1000023900000,0.007000
1000024000000,0.002000
1000024100000,0.005000
1000024200000,0.003000
1000024300000,0.008000
1000024400000,0.005000
1000024500000,0.005000
1000024600000,0.006000
1000024700000,0.005000
1000024800000,0.006000
1000024900000,0.004000
1000025000000,0.008000
1000025100000,0.007000
1000025200000,0.007000
1000025300000,0.005000
1000025400000,0.006000
1000025500000,0.006000
1000025600000,0.003000
1000025700000,0.012000
1000025800000,0.005000
1000025900000,0.002000
1000026000000,0.009000
1000026100000,0.005000
1000026200000,0.004000
1000026300000,0.007000
1000026400000,0.006000
1000026500000,0.006000
1000026600000,0.005000
1000026700000,0.003000
1000026800000,0.008000
1000026900000,0.006000
1000027000000,0.004000
1000027100000,0.006000
1000027200000,0.008000
1000027300000,0.005000
1000027400000,0.007000
1000027500000,0.008000
1000027600000,0.006000
